"Timestamp","What is your Age ?","What is your Gender ?","What is your location ?","Have you received a cash transfer in the past 12 month ?
","If yes, how do you typically receive the cash transfer ? ","How often do you receive cash transfer ?","Have you experienced any difficulty in receiving  cash transfers ?","If yes, what type of difficulties have you experienced ( check all that apply)","If you have experienced delays , how long did it take for you to receive the transfer after the expected date ?","What is the main barrier preventing you from accessing your cash transfer ? ( check all that apply)","Have you faced any challenges in using the cash once you have received the transfer ?","What type of challenges do you face in using the cash transfer once you have received it ? ( check all that apply)","What do you primarily use the cash transfer  for ? ( check all that apply","How easy has it been for you to convert or spend the cash transfer in your local community ?","Would you recommend  cash transfer program to others in your community ?","If yes, what improvements would you recommend ",""
"2024/11/19 1:57:28 PM GMT+1","25-34","Female","Fct/Abuja","Yes","Mobile money transfer","Weekly","Yes","Delay in receiving the transfer","1-3 days","Lack of internet or mobile access","Maybe","Inflation or price increased , reducing the value of the cash transfer","Food and basic needs","Neutral","Yes , definitely","Good Internet and easy access to funds ","Maybe"
"2024/11/19 5:20:37 PM GMT+1","25-34","Female","Kuje, Abuja","Yes","Bank deposit","Weekly","Yes","Delay in receiving the transfer","1-3 days","Limited access to bank or mobile agents","Yes","Difficulties in accessing goods and services with the funds","Food and basic needs","Very easy","Yes , definitely","People should be enlightened on how to make cash transfers especially people in the rural areas.",""
"2024/11/19 5:25:07 PM GMT+1","25-34","Male","Abuja ","Yes","Mobile money transfer","Weekly","Yes","Delay in receiving the transfer","4-7 days","Lack of internet or mobile access","No","Inflation or price increased , reducing the value of the cash transfer","Food and basic needs","Somewhat easy","Yes , definitely","Reduce network latency to give users more relaxed usage of the platform ",""
"2024/11/19 5:44:10 PM GMT+1","18-24","Female","Enugu","Yes","Mobile money transfer","Weekly","Yes","Technical issues (e.g. system failure , issues with mobile platform )","4-7 days","Lack of internet or mobile access","No","Inflation or price increased , reducing the value of the cash transfer","Food and basic needs","Very easy","Yes , definitely","good network service ",""
"2024/11/19 9:06:28 PM GMT+1","18-24","Female","Garki 2 Abuja","Yes","Mobile money transfer","Weekly","Yes","Delay in receiving the transfer","Less than 1 day","Lack of internet or mobile access","No","Inflation or price increased , reducing the value of the cash transfer","Food and basic needs","Neutral","Yes , definitely","Good internet ",""
"2024/11/19 9:13:39 PM GMT+1","45-54","Female","Abuja","Yes","Mobile money transfer","Weekly","Yes","Technical issues (e.g. system failure , issues with mobile platform )","Less than 1 day","Lack of internet or mobile access;Limited access to bank or mobile agents","Yes","Difficulties in accessing goods and services with the funds","Food and basic needs;Education (e.g . School fees , supply , household utilities , electricity );Savings","Somewhat easy","Yes , definitely","Banks need to improve their network services ",""
"2024/11/19 9:17:09 PM GMT+1","35-44","Male","Abuja","Yes","Mobile money transfer","Monthly","Yes","Delay in receiving the transfer;Technical issues (e.g. system failure , issues with mobile platform )","4-7 days","Lack of internet or mobile access","No","Inflation or price increased , reducing the value of the cash transfer","Food and basic needs","Somewhat easy","Yes , definitely","",""
"2024/11/19 9:21:30 PM GMT+1","25-34","Female","Abuja","Yes","Mobile money transfer","Monthly","No","Insufficient info or communication about how to receive the funds","Less than 1 day","Lack of internet or mobile access","No","Inflation or price increased , reducing the value of the cash transfer","Food and basic needs;Education (e.g . School fees , supply , household utilities , electricity );Savings","Very easy","Yes , definitely","",""
"2024/11/19 9:32:48 PM GMT+1","Under 18","Female","Abuja ","Yes","Mobile money transfer","Monthly","No","Delay in receiving the transfer","Less than 1 day","Lack of internet or mobile access","No","Few business accept mobile payment or cash","Food and basic needs","Neutral","Yes , with some improvement","Better network connection ",""
"2024/11/19 10:21:24 PM GMT+1","25-34","Female","Ibadan ","Yes","Mobile money transfer","Weekly","Yes","Delay in receiving the transfer;Technical issues (e.g. system failure , issues with mobile platform )","1-3 days","Lack of internet or mobile access","Maybe","Limited options to spend the money;Few business accept mobile payment or cash","Food and basic needs;Education (e.g . School fees , supply , household utilities , electricity )","Somewhat easy","Yes , with some improvement","Banks should ensure stability in their network services.",""
"2024/11/19 10:23:02 PM GMT+1","35-44","Female","Abuja ","Yes","Mobile money transfer","Weekly","No","Delay in receiving the transfer;Technical issues (e.g. system failure , issues with mobile platform )","4-7 days","Lack of internet or mobile access;Limited access to bank or mobile agents","Yes","Difficulties in accessing goods and services with the funds;Inflation or price increased , reducing the value of the cash transfer;Limited options to spend the money;Few business accept mobile payment or cash;Limited financial literacy ( managing the money , saving );Competing needs ( e.g . using money for one urgent need and not for intend use)","Food and basic needs","Somewhat easy","Yes , definitely","Improved internet connectivity",""
"2024/11/19 10:23:35 PM GMT+1","18-24","Female","FCT Abuja, Nigeria.","Yes","Pos / ATM Transfer","Other (please specified)","Yes","Identification verification issues","Less than 1 day","No identification document","No","Limited financial literacy ( managing the money , saving );Competing needs ( e.g . using money for one urgent need and not for intend use)","Food and basic needs","Neutral","Yes , with some improvement","The network should be more enhanced to make transaction more easy and faster.",""
